date,day,boo,workout,boo,boo,weight
07-Jul-19, Sunday, Cycle cardio,Cycle cardio,,,
08-Jul-19, Monday, Shoulder,Shoulder,,,
10-Jul-19, Wednesday, Run cardio,Run cardio,,,
12-Jul-19, Friday, Chest,Chest,78,0,78
14-Jul-19, Sunday, Abs cardio,Abs cardio,,,
15-Jul-19, Monday, Back,Back,,,
16-Jul-19, Tuesday, Bicep tricep,Bicep tricep,,,
19-Jul-19, Friday, Shoulder,Shoulder,77,7,77.7
21-Jul-19, Sunday, Abs cardio,Abs cardio,,,
22-Jul-19, Monday, Run cardio,Run cardio,,,
23-Jul-19, Tuesday, Chest,Chest,,,
25-Jul-19, Thursday, Back,Back,,,
26-Jul-19, Friday, Bicep tricep,Bicep tricep,78,0,78
28-Jul-19, Sunday, Run cardio,Run cardio,,,
29-Jul-19, Monday, Abs cardio,Abs cardio,,,
30-Jul-19, Tuesday, Shoulder ,Shoulder,,,
31-Jul-19, Wednesday, Chest,Chest,77,5,77.5
